Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_ID,Venue_Category,Marker
                Loaf On,22.379858,114.27188,Loaf On (六福菜館),22.37985221,114.2722256,4c1371bf583c9c74ee6d3fa4,Chinese Restaurant,1
                Lei Garden (Kwun Tong),22.312672,114.22482,Lei Garden Restaurant (利苑酒家),22.31291147,114.2253708,4b973158f964a520a8fb34e3,Chinese Restaurant,1
                Tim Ho Wan (Sham Shui Po),22.32805,114.16665,Tim Ho Wan (添好運),22.328987,114.16632,4bfe9d38ac039521c6d4a880,Dim Sum Restaurant,1
                Ming Court,22.318314,114.16933,Ming Court (明閣),22.3184197,114.1682531,4bbffe322a89ef3bb107f088,Cantonese Restaurant,1
                Yat Tung Heen (Jordan),22.308014,114.17147,Yat Tung Heen (逸東軒),22.30831425,114.1715253,4d0d6df8e0b98cfa65f1db93,Cantonese Restaurant,1
                Tin Lung Heen,22.30357,114.16007,Tin Lung Heen (天龍軒),22.3033707,114.160194,4d9169ac9acaa143ac74e7f0,Chinese Restaurant,1
                Tosca,22.30357,114.16007,Tosca,22.30336795,114.1601826,4d95be5d2bd6f04d71a92450,Italian Restaurant,1
                Tenku RyuGin,22.30331,114.16021,RyuGin (RyuGin 天空龍吟),22.30340633,114.160219,4f895994e4b07f1a354993a6,Japanese Restaurant,1
                Shang Palace,22.297325,114.177155,Shang Palace (香宮),22.2970507,114.1771132,4b0588d8f964a520d6dc22e3,Chinese Restaurant,1
                T'ang Court,22.296572,114.1698,T'ang Court (唐閣),22.29636019,114.1701491,4b0588d8f964a520c3dc22e3,Chinese Restaurant,1
                Sushi Tokami,22.296112,114.16916,Sushi Tokami,22.29643645,114.1688038,567a291f498e988765b8cfec,Sushi Restaurant,1
                Ã‰pure,22.29583,114.169304,Épure,22.29599268,114.1682593,539e8491498e78925a445d1e,French Restaurant,1
                Ã‰pure,22.29583,114.169304,Ye Shanghai (夜上海),22.29543917,114.1697119,4b8283ccf964a52039d630e3,Shanghai Restaurant,1
                Spring Moon,22.294943,114.17182,Spring Moon (嘉麟樓),22.295228,114.171766,4b0588d8f964a520c1dc22e3,Cantonese Restaurant,1
                Rech,22.293434,114.174034,Rech,22.293362,114.17408,58cb837f995842536320dbb5,Seafood Restaurant,1
                Yan Toh Heen,22.293337,114.17395,Yan Toh Heen (欣圖軒),22.29348156,114.174717,4b0588d9f964a520ecdc22e3,Cantonese Restaurant,1
                IM Teppanyaki & Wine,22.280807,114.19211,I M Teppanyaki & Wine,22.28082656,114.1921324,5210554c11d23c1abad7f8b5,Japanese Restaurant,1
                Yee Tung Heen,22.282295,114.184135,Yee Tung Heen (怡東軒),22.28174678,114.1844203,4cc27558cdb59c746cb12c48,Cantonese Restaurant,1
                Lung King Heen,22.28665,114.15674,Lung King Heen (龍景軒),22.28682461,114.1573864,4b0588d9f964a520fddc22e3,Cantonese Restaurant,1
                Caprice,22.286646,114.15662,Caprice,22.28715725,114.1569741,4b0588d0f964a52046db22e3,French Restaurant,1
                Sushi Saito,22.286467,114.15677,Sushi Saito (鮨·齋藤),22.286412,114.157013,5a1ec394ee628b656886da7d,Sushi Restaurant,1
                Jardin de Jade (Wan Chai),22.28025,114.17716,Jardin de Jade (蘇浙匯),22.27993122,114.1771863,4c219e079390c9b6775ac9cd,Jiangsu Restaurant,1
                Zhejiang Heen,22.2787,114.17763,Zhejiang Heen (浙江軒),22.278605,114.177621,4ed1cb90b8f7971d6c60f6b6,Zhejiang Restaurant,1
                VEA,22.284931,114.15313,VEA Restaurant and Bar,22.28489,114.152953,5644840f498e2c069791ec6f,French Restaurant,1
                Kam's Roast Goose,22.277693,114.175385,Kam's Roast Goose (甘牌燒鵝),22.277647,114.175361,53b508c1498ee296db480fea,Cantonese Restaurant,1
                Man Wah,22.282213,114.15951,Mandarin Grill + Bar (Mandarin Grill + Bar 文華扒房＋酒吧),22.28146201,114.1601558,4c7fa26501df37045bb4e6ac,Steakhouse,1
                Man Wah,22.282213,114.15951,Man Wah,22.28199349,114.1592418,4b0588d8f964a520dbdc22e3,Cantonese Restaurant,1
