Name,Cuisine,Rating,Likes,Dislike,Tips,Photos,Listed,Price Level,BeenHere,Reasons,Area
Tam Chai Yunnan Noodles (譚仔雲南米線),Chinese Restaurant,7.6,6,False,3,16,4,1,0,0,旺角
Market Hotpot (鮮入圍煮),Hotpot Restaurant,7.3,16,False,6,89,28,0,0,0,香港
The Great Restaurant (一品雞煲火鍋),Hotpot Restaurant,7.2,10,False,1,15,3,0,0,0,旺角
Peking Garden (北京樓),Beijing Restaurant,7.5,30,False,12,110,5,0,0,0,香港
Minh & Kok,Vietnamese Restaurant,7.3,8,False,2,38,0,2,0,0,太古城
Hokkaidon (北海丼),Japanese Restaurant,7.2,10,False,0,55,4,2,0,0,太古城
Chiuchow Garden (潮庭),Dim Sum Restaurant,7.1,25,False,4,47,8,2,0,0,香港
Thai Pepper (泰胡椒餐廳),Thai Restaurant,7.1,13,False,10,33,4,2,0,0,香港
Myung Ga Korean Restaurant (名家韓國餐廳),Korean Restaurant,6.8,21,False,2,55,6,2,0,0,太古城
Greyhound Café,Thai Restaurant,6.5,33,False,10,97,7,2,0,1,香港
Mr. Wong's (康樂茶餐廳),Hong Kong Restaurant,6.8,16,False,5,11,16,0,0,0,
Hoi Yat Heen (海逸軒),Chinese Restaurant,7.1,11,False,6,85,7,1,0,0,北角
Maxim's MX (美心MX),Fast Food Restaurant,5.7,5,False,2,49,1,1,0,0,鰂魚涌
Farmer's Cooking,Vegetarian / Vegan Restaurant,8.5,12,False,7,58,55,2,0,0,香港
Formosa Autumn (一葉臺灣料理),Taiwanese Restaurant,8.1,31,False,9,74,26,0,0,1,鰂魚涌
Camper’s (坐忘),Japanese Restaurant,7.8,63,False,23,241,59,2,0,1,香港
Northern China (匯泉居),Chinese Restaurant,7.7,6,False,3,42,6,1,0,0,鰂魚涌
Plat du Jour,French Restaurant,7.4,18,False,7,111,18,3,0,0,鰂魚涌
Sheng Kee Congee (生記粥麵),Chinese Restaurant,7,21,False,16,60,13,1,0,0,鰂魚涌
Mr. & Mrs. Fox,New American Restaurant,6.8,108,False,35,294,42,3,0,1,香港
Codfather,Seafood Restaurant,6.7,11,False,7,36,13,3,0,0,鰂魚涌
Sho Bu Japanese Restaurant 菖蒲亭,Japanese Restaurant,6.6,7,False,5,41,3,2,0,0,鰂魚涌
Hakodate (函館),Ramen Restaurant,6.6,12,False,10,83,11,0,0,0,鰂魚涌
Shiro,Sushi Restaurant,6.5,22,False,2,75,3,2,0,0,香港
TAVA Turkish & Mediterranean Cuisine,Turkish Restaurant,6.2,8,False,9,31,5,2,0,0,鰂魚涌
Enoteca,Mediterranean Restaurant,6.2,34,False,14,177,10,2,0,1,鰂魚涌
Flames Charcoal Chicken,Australian Restaurant,6.1,4,False,6,10,3,2,0,0,鰂魚涌
Café de Coral (大家樂),Fast Food Restaurant,6,5,False,3,38,1,1,0,0,香港
An Nam Pho (安南越式牛肉粉),Vietnamese Restaurant,6,5,False,2,38,0,2,0,0,香港
Tulsi (羅勒印度餐廳),Indian Restaurant,6,11,False,9,78,19,2,0,0,鰂魚涌
Salaam Namaste Curry House (沙拉姆咖喱屋),Indian Restaurant,7.2,9,False,4,16,6,2,0,0,油麻地
Yaki ANA 穴居酒屋,Japanese Restaurant,7.5,6,False,1,43,0,2,0,0,大角咀
Modern China (金滿庭),Shanghai Restaurant,6.7,16,False,10,140,9,0,0,0,大角咀
Genki Sushi (元気寿司),Sushi Restaurant,6.3,10,False,4,89,2,2,0,0,大角咀
Beerliner German Bar & Restaurant,German Restaurant,6.1,28,False,22,156,14,2,0,0,大角咀
Tung Po Kitchen (東寶小館),Hong Kong Restaurant,8.3,221,False,97,710,730,0,0,1,香港
Tonkla Thai Snack (迦米泰式小食),Thai Restaurant,7.8,11,False,4,31,12,2,0,0,北角
Fung Shing Restaurant (鳳城酒家),Cantonese Restaurant,7.2,19,False,11,129,27,0,0,0,北角
Jollibee (快樂蜂),Fast Food Restaurant,6.8,5,False,3,31,2,1,0,0,香港
Vegelink (素之樂),Vegetarian / Vegan Restaurant,6.5,5,False,4,61,29,2,0,0,北角
Xin Dau Ji 新斗記,Cantonese Restaurant,6.4,11,False,4,73,5,0,0,0,香港
Korea Restaurant 高麗韓國餐廳 (高麗韓國餐廳),Korean Restaurant,5.9,7,False,4,26,4,2,0,0,北角
Little Chilli (小辣椒),Szechuan Restaurant,5.6,19,False,20,110,28,0,0,0,北角
Oyster C 蠔詩 (蠔詩),Seafood Restaurant,5.6,7,False,4,55,19,3,0,0,北角
Papa Spicy Restaurant (爸爸辣京川滬菜館),Beijing Restaurant,7.77,1,False,3,19,2,0,0,0,北角
Da Hong Pao Hotpot (大紅袍),Hotpot Restaurant,8.4,28,False,12,104,53,0,0,0,香港
Three Virtues Vegetarian Restaurant (三德素食館),Vegetarian / Vegan Restaurant,6.6,15,False,8,52,14,2,0,0,北角
Qinghai-Tibet Beef Noodles (青藏牛肉麵),Tibetan Restaurant,6.5,19,False,17,111,21,0,0,0,北角
Café Italiano,Italian Restaurant,6.4,11,False,5,18,5,2,0,0,北角
Keung Kee Restaurant (Keung Kee Restaurant 強記飯店),Chinese Restaurant,6.3,10,False,4,54,6,1,0,0,北角
Saizeriya 蕯莉亞 (薩莉亞),Italian Restaurant,5.9,16,False,8,105,9,2,0,0,香港
Ocean Empire Food Shop (海皇粥店),Cantonese Restaurant,5.8,3,False,12,39,2,0,0,0,北角
McDonald's (麥當勞),Fast Food Restaurant,5.8,10,False,4,81,3,1,0,0,北角
Café de Coral (大家樂),Fast Food Restaurant,5.6,6,False,6,30,3,1,0,0,香港
Lei Garden Restaurant (利苑酒家),Chinese Restaurant,8.3,15,False,7,51,33,1,0,0,香港
Yue (粵),Cantonese Restaurant,7.8,22,False,11,91,34,0,0,0,香港
Star Seafood Restaurant (明星海鮮酒家),Chinese Restaurant,6.4,12,False,7,64,2,1,0,0,香港
Satay Inn (沙嗲軒),Satay Restaurant,6.4,12,False,5,18,6,0,0,0,香港
Zi Nen Ya (自然屋),Japanese Restaurant,6.4,5,False,5,66,6,2,0,0,香港
蛇王良,Chinese Restaurant,6.4,6,False,1,28,3,1,0,0,香港
Sun Hing Fat Congee (新興發粥店),Cantonese Restaurant,6.2,4,False,7,47,3,0,0,0,香港
Chillie Garden Restaurant (雙辣屋印度美食),Indian Restaurant,6.1,5,False,1,19,1,2,0,0,北角
Pasta & Oyster House (意蠔屋),Italian Restaurant,5.7,3,False,3,26,1,2,0,0,香港
Temple Spice Crabs (廟街香辣蟹),Seafood Restaurant,7.7,54,False,28,320,75,3,0,1,油麻地
Café de Coral (大家樂),Fast Food Restaurant,7.6,13,False,6,23,9,1,0,0,香港
新強記燒臘飯店,Chinese Restaurant,7.1,7,False,5,28,8,1,0,0,油麻地
Lo Chiu Vietnamese Restaurant (老趙越南風味餐廳),Vietnamese Restaurant,7.6,17,False,3,77,11,2,0,0,油麻地
As You Like (隨變燒烤麻辣雞煲),Hotpot Restaurant,7.5,21,False,5,58,18,0,0,0,Jordan
Indian Kitchen (Indian Kitchen 印度廚房),Indian Restaurant,7,9,False,1,16,5,2,0,0,油麻地
Shun De Kung Seafood Restaurant 順德公漁村河鮮酒家,Cantonese Restaurant,6.5,10,False,4,39,2,0,0,0,油麻地
The One Food (皇朝飲食),Seafood Restaurant,7.77,0,False,1,10,0,3,0,0,Jordan
Good Take OK (拍板小館),Hong Kong Restaurant,7.77,5,False,0,28,0,0,0,0,油麻地
Seasons Restaurant & Bar,Restaurant,7.7,10,False,2,21,3,2,0,0,香港
King of Beef (牛皇星),Chinese Restaurant,7.7,14,False,8,65,19,1,0,0,油麻地
